REAL_PROPERTIES_ID,FILING_ID,REAL_PROPERTY_DESCRIPTION,REAL_KIND,REAL_EXACT _LOCATION,REAL_ASSESSED _VALUE,REAL_CURRENT_FAIR_MARKET_VALUE,REAL_ACQUISITION_YEAR,REAL_ACQUISITION_MODE,REAL_ACQUISITION_COST
4000000001,2000000001,House,Residential,"San Mateo, Rizal","450,000","1,200,000",2015,Mortgage,"1,100,000"
4000000002,2000000002,Condominium,Residential,"Cubao, Quezon City","800,000","3,500,000",2018,Cash,"2,800,000"
4000000003,2000000003,Agricultural Land,Agricultural,"Nueva Ecija, Bicol","120,000","500,000",2010,Inheritance,0
4000000004,2000000004,Townhouse,Residential,"Fairview, QC","600,000","4,200,000",2019,Bank Loan,"3,900,000"
4000000005,2000000005,Agricultural Land,Rice Land,Antipolo,"200,000","1,500,000",2012,Cash,"400,000"
4000000006,2000000006,Residential Lot,Vacant,Laguna,"350,000","2,000,000",2014,Donation,0
4000000007,2000000007,Townhouse,Residential,Private (Investment),,"1,200,000",2017,Contribution,"900,000"
4000000008,2000000008,Apartment Complex,Residential,Manila,"1,500,000","5,000,000",2020,Bank Loan,"4,500,000"
4000000009,2000000009,Beachfront Lot,Agricultural,Quezon City,"700,000","2,800,000",2016,Cash,"1,800,000"
4000000010,2000000010,Residential Lot,Vacant,Zambales (Beachfront),"900,000","3,200,000",2017,Purchase,"2,200,000"
4000000011,2000000011,Farm Land,Agricultural,Valenzuela (Warehouse),"1,200,000","4,000,000",2018,Bank Loan,"2,500,000"
4000000012,2000000012,House,Residential,Makati City,"1,000,000","1,600,000",2019,Mortgage,"850,000"
4000000013,2000000013,Residential Lot,Vacant,Tagaytay (Vacation House),"2,000,000","2,500,000",2015,Purchase,"1,600,000"
4000000014,2000000014,Warehouse,Industrial,Pasig (Parking Lot),"500,000","1,800,000",2013,Purchase,"1,200,000"
4000000015,2000000015,Mixed‑Use Building,Residential/Commercial,Mandaluyong (Mixed-Use Building),"2,000,000","6,500,000",2021,Bank Loan,"4,000,000"
